time,altitude,velocity,accel_x,accel_y,accel_z,temperature,voltage
53,804200,7777.95,0.495424,0.864477,0.0248221,0.186054,10.0004
54,804278,7777.97,0.479415,0.835149,0.00142249,0.168183,10.0004
55,804355,7777.97,0.512185,0.859916,-0.00958432,0.143617,9.99994
56,804433,7777.94,0.551992,0.831832,0.0288448,0.119692,9.9999
57,804511,7777.94,0.541969,0.815747,-0.00724195,0.134758,10
58,804589,7777.91,0.555996,0.809292,0.0411887,0.131538,9.99992
59,804667,7777.9,0.531322,0.823661,0.00213106,0.124892,9.99989
60,804744,7777.89,0.540987,0.792216,0.00853023,0.14009,9.99997
61,804822,7777.91,0.577363,0.834516,-0.0379972,0.156433,9.99976
62,804900,7777.96,0.607376,0.807222,-0.0320532,0.144691,9.99991
63,804978,7777.97,0.554985,0.800027,-0.002065,0.116676,9.99994
64,805055,7777.99,0.562614,0.808378,0.0348365,0.109058,9.99986
65,805133,7778.02,0.586932,0.829381,0.0218754,0.130602,9.99996
66,805211,7778.02,0.596699,0.79484,0.0260448,0.096862,9.99938
67,805289,7778.03,0.650985,0.760188,-0.0259443,0.0940042,9.99889
68,805367,7778.02,0.626191,0.769107,0.0222801,0.103083,9.99885
69,805444,7778.02,0.671119,0.744289,0.00690324,0.135938,9.99877
70,805522,7778.03,0.671063,0.77433,0.010621,0.17535,9.99902
71,805600,7778.03,0.678635,0.751327,-0.0331364,0.160067,9.99866
72,805678,7778.03,0.684425,0.731691,-0.0231859,0.148411,9.99882
73,805756,7778.01,0.651801,0.747234,0.0254635,0.144964,9.99865
74,805833,7778.01,0.669849,0.736195,-0.0189979,0.16062,9.99897
75,805911,7778.01,0.666967,0.720762,-0.011252,0.196119,9.99892
76,805989,7777.99,0.721969,0.756296,-0.0257034,0.180852,9.9989
77,806067,7778.01,0.681278,0.678661,0.0397825,0.175183,9.99923
78,806144,7778,0.744509,0.706605,0.0125356,0.171973,9.99935
79,806222,7778.01,0.687205,0.689836,0.00185973,0.18737,9.99943
80,806300,7778.01,0.723799,0.716923,0.0249139,0.225211,9.99912
81,806378,7777.99,0.699706,0.676311,0.00332132,0.248677,9.99927
82,806456,7777.95,0.739355,0.667839,-0.0152592,0.25503,9.99898
83,806533,7777.93,0.736044,0.656445,0.00115515,0.262947,9.99903
84,806611,7777.91,0.73857,0.633899,0.0301353,0.226875,9.99907
85,806689,7777.92,0.740634,0.666825,-0.0317292,0.19656,9.99903
86,806767,7777.97,0.747569,0.649945,-0.00877536,0.210926,9.99901
87,806844,7777.98,0.768327,0.651915,0.0296887,0.174408,9.99907
88,806922,7777.95,0.745948,0.639912,-0.0255148,0.226768,9.99864
89,807000,7777.95,0.777273,0.656098,0.00489431,0.205037,9.99839
90,807078,7777.94,0.803365,0.631518,0.00373544,0.230537,9.99817
91,807156,7777.94,0.790262,0.619266,0.00635318,0.271715,9.9979
92,807233,7777.94,0.811381,0.608113,-0.0106556,0.320721,9.99753
93,807311,7777.94,0.785006,0.583215,-0.000391734,0.281957,9.99719
94,807389,7777.94,0.835027,0.61371,0.005362,0.298719,9.99723
95,807467,7777.93,0.791832,0.61258,-0.0114529,0.298711,9.99729
96,807544,7777.93,0.828946,0.517171,0.0215843,0.276425,9.99743
97,807622,7777.92,0.834375,0.541364,-0.0122181,0.270534,9.99764
98,807700,7777.91,0.815087,0.555611,0.0213646,0.297713,9.99749
99,807778,7777.93,0.844076,0.544283,0.0173437,0.305646,9.99761
100,807855,7777.91,0.852931,0.526583,-0.0109459,0.295078,9.99753
101,807933,7777.94,0.832557,0.529086,0.00630373,0.313144,9.99723
102,808011,7777.97,0.863017,0.531214,-0.0372272,0.294193,9.99687
103,808089,7777.99,0.84866,0.537271,-0.0120795,0.312032,9.99703
104,808167,7777.99,0.845239,0.528892,0.0233611,0.299036,9.99673
105,808244,7777.98,0.859901,0.486347,0.0250655,0.293272,9.99654
106,808322,7777.98,0.879876,0.525213,0.0165904,0.290016,9.9961
107,808400,7777.99,0.876342,0.457572,-0.00504354,0.287837,9.99594
108,808478,7778.01,0.903386,0.471809,0.0151244,0.284946,9.99602
109,808555,7778,0.899704,0.458577,0.0265066,0.264513,9.99627
110,808633,7778.01,0.88757,0.473356,0.0144477,0.283577,9.99633
111,808711,7778,0.839188,0.443214,-0.0145129,0.279808,9.99648
112,808789,7777.96,0.874131,0.437816,-0.0283689,0.288868,9.99646
113,808866,7777.97,0.901462,0.43655,0.0202494,0.286749,9.9966
114,808944,7777.94,0.902381,0.417553,-0.0344147,0.306401,9.99692
115,809022,7777.95,0.940713,0.425518,0.0100796,0.343935,9.99699
116,809100,7777.95,0.90025,0.400062,0.0184067,0.36586,9.99683
117,809178,7777.94,0.917927,0.363052,0.000995989,0.369957,9.99671
118,809255,7777.97,0.950848,0.39824,-0.00503992,0.391505,9.99644
119,809333,7777.99,0.937426,0.346591,0.0355065,0.389552,9.99637
120,809411,7778.03,0.89751,0.364516,0.0271371,0.408745,9.99623
121,809489,7778,0.914362,0.335579,0.0237625,0.372147,9.99633
122,809567,7777.98,0.964149,0.370677,-0.0126494,0.383537,9.99625
123,809644,7777.96,0.956939,0.33371,0.0153733,0.388014,9.99634
124,809722,7777.94,0.938002,0.309693,0.0383429,0.385137,9.99656
125,809800,7777.91,0.941757,0.364267,0.00673126,0.404033,9.99639
126,809878,7777.89,0.981572,0.32064,0.0423866,0.426887,9.9965
127,809955,7777.89,0.947034,0.292494,0.00859046,0.386691,9.99649
128,810033,7777.92,0.964959,0.249465,-0.00418048,0.376581,9.9964
129,810111,7777.93,0.964682,0.296824,0.0139716,0.383504,9.99614
130,810189,7777.92,0.963275,0.25441,0.000462051,0.397105,9.9961
131,810267,7777.92,0.978902,0.237434,-0.00394268,0.423705,9.99619
132,810344,7777.92,0.975397,0.25619,0.0214185,0.415462,9.9964
133,810422,7777.92,0.966741,0.237802,0.0119154,0.417664,9.99659
134,810500,7777.91,0.936912,0.243688,0.00549395,0.398504,9.99656
135,810578,7777.92,0.973968,0.219486,-0.0287147,0.432766,9.99665
136,810655,7777.91,0.963625,0.217127,-0.0143007,0.415439,9.99628
137,810733,7777.88,0.974502,0.173906,-0.00868971,0.41535,9.99628
138,810811,7777.88,0.960302,0.205494,0.0214943,0.425814,9.99609
139,810889,7777.88,0.970491,0.175834,-0.0030693,0.453022,9.99643
140,810967,7777.87,0.971621,0.173188,0.0266514,0.444836,9.99629
141,811044,7777.87,0.950791,0.190654,0.025477,0.429423,9.99603
142,811122,7777.86,0.979922,0.136289,-0.0310225,0.426089,9.99602
143,811200,7777.84,0.97999,0.12733,0.0050262,0.441581,9.99597
144,811278,7777.89,1.05137,0.133348,0.0312967,0.429178,9.99564
145,811356,7777.9,0.968224,0.151149,-0.00532164,0.444544,9.99593
146,811433,7777.91,1.01677,0.0817663,0.0218054,0.435819,9.99592
147,811511,7777.89,0.982229,0.125851,0.0193034,0.43325,9.99592
148,811589,7777.93,0.985381,0.0843526,0.00606343,0.408341,9.99603
149,811667,7777.92,1.00128,0.0814503,0.0323276,0.436269,9.99597
150,811745,7777.91,1.02504,0.0855147,-0.0111659,0.466211,9.99588
151,811822,7777.91,0.9908,0.0501971,-0.02595,0.474446,9.99583
152,811900,7777.92,1.00172,0.0373245,0.0157813,0.47314,9.99546
153,811978,7777.89,1.03691,0.0589125,-0.00495555,0.466995,9.99542
154,812056,7777.88,1.00561,0.0641529,0.0133438,0.437462,9.99551
155,812133,7777.89,0.972712,0.0346182,-0.00461589,0.441186,9.9956
156,812211,7777.89,0.978468,0.00520749,0.00660014,0.436249,9.99575
157,812289,7777.89,0.998435,-0.0306244,-0.039961,0.411084,9.99589
158,812367,7777.89,1.04333,-0.0296365,0.0376953,0.41312,9.99571
159,812445,7777.88,0.959832,-0.0197332,0.00818144,0.439206,9.99588
160,812522,7777.85,0.99908,-0.00631105,-0.0286378,0.430507,9.99617
161,812600,7777.83,1.02058,-0.0540983,-0.0102969,0.437189,9.99604
162,812678,7777.83,0.980397,-0.0737956,-0.0351935,0.464675,9.99577
163,812756,7777.89,0.988217,-0.0472237,-0.0216146,0.445505,9.99561
164,812833,7777.89,1.01901,-0.0750203,-0.0291041,0.447103,9.99517
165,812911,7777.9,1.01909,-0.0812152,-0.00181836,0.413684,9.99494
166,812989,7777.9,1.00299,-0.109496,0.00287351,0.408235,9.99482
167,813067,7777.86,0.996433,-0.0847812,-0.00347305,0.408297,9.99528
168,813145,7777.89,0.967824,-0.117707,-0.00944583,0.39277,9.9954
169,813222,7777.89,0.968925,-0.102258,0.00624764,0.390928,9.99515
170,813300,7777.92,1.02076,-0.138264,0.010061,0.375934,9.9951
171,813378,7777.94,0.988097,-0.137139,-0.0128067,0.367474,9.99481
172,813456,7777.94,0.958315,-0.18473,-0.0495504,0.378847,9.99478
173,813533,7777.92,0.985941,-0.147233,0.0203749,0.389401,9.99498
174,813611,7777.92,0.966195,-0.165784,-0.00919205,0.433773,9.99503
175,813689,7777.89,0.996656,-0.145441,0.0168181,0.458829,9.99477
176,813767,7777.91,1.01319,-0.200817,0.00243129,0.469131,9.99462
177,813845,7777.9,0.98619,-0.209697,0.0317559,0.497543,9.99465
178,813922,7777.88,0.983844,-0.18441,0.00422385,0.518882,9.99464
179,814000,7777.91,0.946751,-0.194572,-0.00891603,0.536443,9.99494
180,814078,7777.87,0.981666,-0.197666,0.0203281,0.496621,9.99507
181,814156,7777.88,0.966058,-0.212273,0.0030034,0.50243,9.99496
182,814233,7777.89,0.926329,-0.268195,-0.0137653,0.523949,9.99483
183,814311,7777.9,0.991239,-0.209733,0.024217,0.515484,9.99513
184,814389,7777.87,0.989874,-0.263382,-0.00453993,0.515068,9.99508
185,814467,7777.85,0.970021,-0.296195,-0.0283761,0.499043,9.99506
186,814545,7777.89,0.9528,-0.279366,0.00944785,0.509616,9.99488
187,814622,7777.9,0.947939,-0.283354,-0.0106366,0.491285,9.99507
188,814700,7777.91,0.965216,-0.306083,0.0478328,0.479028,9.99508
189,814778,7777.87,0.951682,-0.284808,0.0123606,0.486938,9.99531
190,814856,7777.88,0.914095,-0.32091,-0.0309634,0.502334,9.99532
191,814933,7777.9,0.9253,-0.33264,0.00350419,0.501592,9.99553
192,815011,7777.88,0.932585,-0.296507,-0.0280809,0.47533,9.99592
193,815089,7777.89,0.965554,-0.363135,-0.0273591,0.506529,9.99561
194,815167,7777.9,0.923962,-0.350354,-0.0380051,0.535148,9.9952
195,815245,7777.92,0.923972,-0.3861,0.000630984,0.547549,9.99478
196,815322,7777.9,0.921998,-0.412554,-0.0255001,0.548952,9.99451
197,815400,7777.88,0.927677,-0.384795,0.00631449,0.557852,9.99437
198,815478,7777.9,0.938287,-0.378834,0.0110539,0.61036,9.9942
199,815556,7777.88,0.921936,-0.433108,-0.0298875,0.634263,9.99442
200,815633,7777.89,0.880966,-0.399605,-0.00672663,0.64678,9.99457
201,815711,7777.87,0.882068,-0.470314,0.0132964,0.646406,9.99447
202,815789,7777.86,0.916697,-0.456485,-0.00758094,0.62408,9.99481
203,815867,7777.92,0.88246,-0.4488,-0.0312435,0.607008,9.99454
204,815945,7777.9,0.876426,-0.445394,0.000550012,0.60881,9.9944
205,816022,7777.87,0.856233,-0.481175,0.00149901,0.592326,9.9941
206,816100,7777.86,0.87615,-0.483742,-0.0293945,0.567749,9.99376
207,816178,7777.87,0.880166,-0.48443,-0.0173356,0.592017,9.99378
208,816256,7777.83,0.880805,-0.487054,0.00845075,0.605144,9.99372
209,816333,7777.87,0.872875,-0.520503,-0.00922851,0.619747,9.99383
210,816411,7777.86,0.845862,-0.465053,0.0385181,0.629702,9.99385
211,816489,7777.87,0.873084,-0.533347,0.0185331,0.629674,9.99385
212,816567,7777.88,0.841021,-0.4696,-0.0158449,0.676733,9.9941
213,816645,7777.86,0.84055,-0.541947,-0.00903749,0.653971,9.99403
214,816722,7777.88,0.885259,-0.53306,0.00520624,0.631241,9.99387
215,816800,7777.85,0.836019,-0.546106,-0.0304874,0.60599,9.99381
216,816878,7777.86,0.811804,-0.566229,0.0353342,0.634091,9.99386
217,816956,7777.88,0.803236,-0.584299,0.0359152,0.613652,9.99365
218,817034,7777.9,0.844465,-0.544565,-0.0113581,0.614962,9.99357
219,817111,7777.9,0.786628,-0.56973,0.00352528,0.6532,9.99383
220,817189,7777.91,0.823187,-0.57384,0.00589614,0.654805,9.99364
221,817267,7777.93,0.806602,-0.597943,-0.0076264,0.662048,9.99402
222,817345,7777.93,0.790169,-0.636973,-0.014035,0.669351,9.99386
223,817422,7777.95,0.760312,-0.628291,0.000904663,0.704003,9.99403
224,817500,7777.96,0.786753,-0.615545,-0.0058524,0.678017,9.99408
225,817578,7777.93,0.796093,-0.630034,-0.000720694,0.661456,9.99408
226,817656,7777.9,0.755724,-0.609112,0.00417575,0.657199,9.99377
227,817734,7777.88,0.771208,-0.608037,-0.0167316,0.652766,9.99369
228,817811,7777.89,0.779428,-0.646109,0.0161597,0.640542,9.99363
229,817889,7777.87,0.775638,-0.635848,0.0188361,0.644341,9.99333
230,817967,7777.84,0.728746,-0.66463,-0.000319653,0.637274,9.993
231,818045,7777.81,0.714305,-0.671554,-0.00703483,0.640628,9.99327
232,818122,7777.81,0.761718,-0.656824,0.0158228,0.63119,9.9933
233,818200,7777.82,0.719781,-0.654382,0.0144032,0.628006,9.9934
234,818278,7777.81,0.698946,-0.683961,0.00470663,0.629367,9.99355
235,818356,7777.81,0.708323,-0.701919,0.0163842,0.656385,9.99335
236,818434,7777.79,0.712803,-0.715866,-0.0260535,0.640883,9.9932
237,818511,7777.78,0.713486,-0.719933,-0.0036966,0.636399,9.99344
238,818589,7777.77,0.68891,-0.731696,0.00407189,0.618814,9.9935
239,818667,7777.8,0.676346,-0.729593,0.00946947,0.625247,9.99351
240,818745,7777.79,0.655448,-0.753227,-0.0260139,0.637791,9.99356
241,818822,7777.79,0.669337,-0.732598,-0.0163607,0.659655,9.99365
242,818900,7777.82,0.663576,-0.751869,0.0142087,0.650852,9.99354
243,818978,7777.84,0.659866,-0.733392,-0.0315936,0.607554,9.99356
244,819056,7777.86,0.653975,-0.745623,-0.00437204,0.595186,9.99347
245,819133,7777.85,0.612522,-0.768566,-0.0318328,0.614247,9.99336
246,819211,7777.86,0.630134,-0.767046,0.00244397,0.603779,9.99302
247,819289,7777.85,0.619449,-0.788717,0.0125805,0.632193,9.99285
248,819367,7777.83,0.588633,-0.798811,-0.038596,0.654651,9.993
249,819445,7777.83,0.580866,-0.817262,-0.0180926,0.664546,9.99314
250,819522,7777.85,0.597895,-0.812582,0.0113169,0.661802,9.99279
251,819600,7777.86,0.578364,-0.808864,-0.0228562,0.671835,9.99277
252,819678,7777.85,0.591984,-0.806999,0.00196943,0.678618,9.99303
253,819756,7777.89,0.522875,-0.796108,-0.00275106,0.681786,9.99324
254,819834,7777.91,0.575418,-0.826317,0.0192321,0.682815,9.99338
255,819911,7777.93,0.542741,-0.83668,0.00278392,0.688383,9.9934
256,819989,7777.89,0.596844,-0.807768,0.0271612,0.67678,9.99327
257,820067,7777.87,0.561584,-0.850311,-0.00040211,0.70761,9.99316
258,820145,7777.86,0.54156,-0.827677,0.0487712,0.697589,9.99296
259,820222,7777.88,0.513124,-0.843742,-0.0241023,0.718975,9.99299
260,820300,7777.89,0.535885,-0.850775,0.0131008,0.709115,9.99319
261,820378,7777.87,0.513498,-0.868712,-0.00261507,0.737865,9.99322
262,820456,7777.87,0.523646,-0.841254,0.00746053,0.741165,9.99341
263,820534,7777.85,0.481494,-0.883028,0.0102644,0.760373,9.99315
264,820611,7777.83,0.490442,-0.899145,0.0145071,0.73719,9.99354
265,820689,7777.81,0.478298,-0.86303,-0.00475215,0.782989,9.9938
266,820767,7777.79,0.467599,-0.89539,0.0250617,0.763833,9.99374
267,820845,7777.78,0.491124,-0.892198,0.0143938,0.766281,9.99396
268,820923,7777.79,0.434618,-0.889047,-0.00601977,0.755094,9.99345
269,821000,7777.8,0.474948,-0.8999,-0.000121835,0.770553,9.99368
270,821078,7777.82,0.405957,-0.906252,0.00329261,0.768632,9.99359
271,821156,7777.85,0.370812,-0.910011,-0.00408541,0.757675,9.9936
272,821234,7777.84,0.400346,-0.943,0.0241868,0.774587,9.99343
273,821311,7777.85,0.377682,-0.918985,0.00185618,0.789416,9.99346
274,821389,7777.88,0.375013,-0.91686,0.00405563,0.778685,9.99358
275,821467,7777.9,0.381937,-0.943183,0.00675258,0.772421,9.99369
276,821545,7777.9,0.385537,-0.886676,0.00669338,0.761615,9.99364
277,821623,7777.9,0.343074,-0.897408,0.0062842,0.791731,9.99337
278,821700,7777.9,0.338913,-0.923266,0.000820154,0.816504,9.99344
279,821778,7777.94,0.340779,-0.920369,-0.00646767,0.836863,9.99364
280,821856,7777.92,0.341243,-0.969229,0.00252464,0.808316,9.99371
281,821934,7777.96,0.352319,-0.947489,0.025325,0.788556,9.99342
282,822011,7777.96,0.309896,-0.964794,0.0034714,0.811041,9.99387
283,822089,7777.95,0.340867,-0.958885,0.0400188,0.837231,9.99402
284,822167,7777.97,0.275347,-0.974053,0.0387176,0.873442,9.99385
285,822245,7777.94,0.287365,-0.957887,0.0211105,0.867088,9.99391
286,822323,7777.94,0.30801,-0.99261,0.0156277,0.846903,9.99365
287,822400,7777.94,0.282934,-0.971683,-0.000393068,0.858953,9.99351
288,822478,7777.92,0.280331,-0.971061,-0.0131419,0.870131,9.99369
289,822556,7777.95,0.245104,-0.960399,0.0315192,0.85544,9.99386
290,822634,7777.96,0.220607,-0.976088,-0.00745387,0.86369,9.99389
291,822711,7777.94,0.233453,-0.941339,0.00163806,0.823047,9.99424
292,822789,7777.97,0.222853,-0.964125,-0.0248208,0.806466,9.99403
293,822867,7777.97,0.219438,-0.980261,-0.032043,0.846487,9.99442
294,822945,7777.97,0.171983,-0.967656,0.0209606,0.81309,9.994
295,823023,7778.02,0.214428,-0.991689,0.00406375,0.821193,9.99413
296,823100,7778.04,0.185205,-0.989403,0.00255795,0.812152,9.99443
297,823178,7778.06,0.169759,-1.00605,0.00651431,0.821721,9.99393
298,823256,7778.05,0.162951,-0.988686,-0.0211884,0.796231,9.99379
299,823334,7778.03,0.129261,-0.988475,0.0089825,0.801474,9.99372
300,823411,7778.08,0.188266,-0.983768,0.00979938,0.818924,9.99346
301,823489,7778.06,0.114315,-1.01355,-0.0128549,0.811742,9.99368
302,823567,7778.09,0.104447,-0.992945,-0.0206132,0.823534,9.99394
303,823645,7778.11,0.084055,-0.993921,-0.0206706,0.806294,9.99409
304,823723,7778.11,0.0983701,-0.982248,-0.0185588,0.827626,9.99432
305,823800,7778.14,0.12464,-0.98433,-0.0225028,0.815933,9.99406
306,823878,7778.12,0.0978613,-0.991362,0.00528406,0.835583,9.99373
307,823956,7778.14,0.0980919,-1.00212,0.0305652,0.842223,9.99379
308,824034,7778.12,0.0773809,-0.977171,-0.0133832,0.822236,9.99373
309,824112,7778.12,0.0217498,-1.00777,0.00420722,0.833531,9.99372
310,824189,7778.13,0.0502793,-0.968818,-0.0400521,0.835275,9.99374
311,824267,7778.15,0.075633,-1.06378,-0.020812,0.830969,9.99426
312,824345,7778.15,0.00847898,-0.980967,-0.00790677,0.83172,9.9942
313,824423,7778.15,0.00117095,-1.0042,0.0131791,0.834143,9.99434
314,824500,7778.13,0.0169587,-1.01485,-0.00676317,0.820828,9.99453
315,824578,7778.12,0.0210119,-1.00145,-0.0259288,0.757247,9.99448
316,824656,7778.11,-0.0473817,-0.994377,-0.033174,0.7317,9.9944
317,824734,7778.11,-0.00563881,-0.986468,0.00611315,0.706577,9.99405
318,824812,7778.13,-0.037669,-1.00877,-0.00325467,0.715083,9.99409
319,824889,7778.17,-0.0703484,-1.00877,-0.0182987,0.707068,9.99379
320,824967,7778.14,-0.0747579,-0.986478,-0.0382499,0.673242,9.99373
321,825045,7778.12,-0.0779758,-1.04284,-0.0223224,0.662476,9.99389
322,825123,7778.11,-0.0524445,-1.0018,0.0239169,0.679466,9.99383
323,825200,7778.08,-0.098914,-0.980595,-0.0047328,0.696322,9.99396
324,825278,7778.09,-0.122998,-0.989352,-0.000585016,0.705899,9.99377
325,825356,7778.08,-0.110042,-0.976331,-0.00918476,0.708056,9.99382
326,825434,7778.04,-0.14194,-0.974732,-0.0112428,0.717391,9.99379
327,825512,7778.04,-0.146905,-1.00371,0.0112102,0.728485,9.99381
328,825589,7778.03,-0.125666,-0.980783,-0.0138728,0.71639,9.99411
329,825667,7778.02,-0.15674,-0.974697,0.0246203,0.700515,9.99394
330,825745,7778.01,-0.165202,-0.977083,0.0265213,0.713701,9.99404
331,825823,7778.02,-0.156061,-0.986939,-0.00672527,0.701506,9.99434
332,825900,7777.99,-0.171961,-0.973106,0.00382326,0.738431,9.99402
333,825978,7778.01,-0.207155,-0.977418,-0.00452538,0.764123,9.99375
334,826056,7778.01,-0.171484,-0.992095,-0.00156285,0.747467,9.99387
335,826134,7778.03,-0.200156,-0.976705,-0.0183303,0.727496,9.99399
336,826212,7778.02,-0.190805,-0.974391,-0.0120835,0.706258,9.99416
337,826289,7778.01,-0.241161,-0.977782,0.00558346,0.716224,9.99379
338,826367,7778.02,-0.215091,-0.97558,-0.0064193,0.736161,9.99365
339,826445,7777.97,-0.204355,-0.978074,-0.0430279,0.754086,9.99349
340,826523,7778,-0.278884,-0.974998,-0.00436569,0.73858,9.99366
341,826601,7777.99,-0.291012,-0.94631,-0.00210973,0.742179,9.99308
342,826678,7778,-0.307151,-0.976169,-0.0386154,0.782161,9.99312
343,826756,7778.02,-0.303577,-0.931143,0.00235662,0.807038,9.993
344,826834,7778.01,-0.258542,-0.966564,-0.0155949,0.792798,9.99286
345,826912,7778,-0.312051,-0.96506,0.0071199,0.776207,9.99337
346,826989,7777.98,-0.311784,-0.940008,0.023806,0.77511,9.9937
347,827067,7778.02,-0.319306,-1.00282,0.0131452,0.773667,9.99404
348,827145,7778.01,-0.31511,-0.957787,0.00313702,0.789067,9.99411
349,827223,7778.01,-0.319928,-0.943547,-0.012043,0.794004,9.99379
350,827300,7778.03,-0.321134,-0.955365,-0.00167942,0.82272,9.99379
351,827378,7778.03,-0.336623,-0.938495,-0.0335113,0.78456,9.99365
352,827456,7778.03,-0.386279,-0.939705,-0.0252776,0.753976,9.99401
353,827534,7778.01,-0.371584,-0.91337,-0.032773,0.745609,9.99433
354,827612,7778.01,-0.390783,-0.92804,0.00790182,0.791485,9.99418
355,827689,7778.01,-0.412601,-0.916929,0.016439,0.825723,9.99441
356,827767,7778,-0.403705,-0.954956,-0.0252736,0.850632,9.99439
357,827845,7778,-0.421134,-0.88438,-0.00778461,0.880612,9.99451
358,827923,7777.95,-0.391861,-0.887128,-0.033274,0.882468,9.99425
359,828001,7777.94,-0.421248,-0.872704,-0.00391313,0.849861,9.99425
360,828078,7777.91,-0.455919,-0.888784,0.0239536,0.840549,9.99411
361,828156,7777.92,-0.452252,-0.872777,-0.00659072,0.85175,9.99417
362,828234,7777.92,-0.467093,-0.874423,-0.00987674,0.844742,9.99428
363,828312,7777.9,-0.437521,-0.887514,0.0262756,0.844178,9.99418
364,828389,7777.9,-0.488849,-0.863687,-0.000259734,0.860586,9.99431
365,828467,7777.93,-0.471934,-0.863712,0.00467114,0.87852,9.99406
366,828545,7777.96,-0.481963,-0.881537,-0.0403405,0.876436,9.99374
367,828623,7777.96,-0.482389,-0.890901,-0.0134498,0.867398,9.99383
368,828701,7777.96,-0.55078,-0.868002,0.0071434,0.85017,9.99346
369,828778,7777.95,-0.504497,-0.884637,-0.0307895,0.81991,9.99345
370,828856,7777.93,-0.487417,-0.80711,0.00745736,0.820318,9.99325
371,828934,7777.92,-0.550544,-0.819268,0.00491746,0.824251,9.99304
372,829012,7777.9,-0.539479,-0.845799,0.00624263,0.833582,9.99303
373,829089,7777.93,-0.512268,-0.850018,0.00917604,0.83172,9.99299
